Credit Score,Income,Loan Eligible
414,13.5,No
528,29.5,No
389,92.7,No
395,40.6,No
327,88.6,No
729,40.9,Yes
306,116.2,No
732,57.6,Yes
644,24.3,No
667,128.6,Yes
344,112.2,No
687,21.0,No
670,90.8,Yes
346,102.6,No
381,129.7,No
689,48.9,Yes
673,32.8,No
573,108.3,Yes
373,95.3,No
550,32.9,No
524,105.8,Yes
357,42.1,No
623,66.2,No
622,39.8,No
769,30.0,Yes
569,114.6,Yes
708,60.7,Yes
441,81.3,No
348,130.6,No
463,120.9,No
365,63.9,No
779,84.1,Yes
311,105.2,No
849,115.1,Yes
648,25.6,No
764,10.5,Yes
569,146.1,Yes
819,137.8,Yes
605,127.8,Yes
503,31.4,No
843,138.6,Yes
800,12.7,Yes
614,43.5,No
380,22.0,No
370,146.9,No
428,28.0,No
469,47.1,No
733,145.0,Yes
505,109.8,No
682,71.3,Yes
423,44.7,No
321,92.4,No
525,11.0,No
360,42.1,No
638,19.9,No
797,40.0,Yes
784,44.0,Yes
716,36.7,No
741,59.6,Yes
355,104.3,No
400,18.5,No
411,44.8,No
759,29.6,Yes
773,45.0,Yes
753,123.1,Yes
400,17.1,No
315,145.7,No
542,33.3,No
518,131.1,Yes
468,63.1,No
571,139.7,Yes
592,69.2,Yes
798,31.7,Yes
359,91.1,No
621,18.0,No
814,138.7,Yes
358,144.5,No
490,19.6,No
540,66.5,No
552,91.0,No
383,68.7,No
835,54.3,Yes
621,43.4,No
607,74.0,Yes
374,11.3,No
402,20.3,No
571,28.5,No
370,133.1,No
461,71.3,No
609,95.6,Yes
841,11.1,Yes
606,140.4,Yes
437,47.0,No
459,48.1,No
651,38.5,No
570,80.8,No
352,22.9,No
583,16.2,No
433,99.2,No
752,87.2,Yes
309,25.7,No
452,86.4,No
451,70.2,No
673,135.9,Yes
340,135.8,No
555,103.4,Yes
716,146.3,Yes
542,131.0,Yes
481,133.4,No
640,119.5,Yes
554,47.4,No
410,63.6,No
781,41.1,Yes
771,59.0,Yes
533,41.2,No
708,56.0,Yes
585,59.2,No
849,56.4,Yes
567,35.0,No
571,15.4,No
653,112.0,Yes
823,26.2,Yes
494,45.7,No
301,82.8,No
501,61.0,No
638,97.2,Yes
427,110.8,No
616,103.4,Yes
602,87.6,Yes
688,104.8,Yes
608,66.9,Yes
611,50.2,No
629,75.1,Yes
518,81.6,No
473,102.2,No
643,23.1,No
540,104.2,No
503,30.6,No
786,95.6,Yes
766,68.0,Yes
499,110.6,No
709,44.2,Yes
305,135.0,No
409,119.0,No
830,75.0,Yes
424,73.9,No
843,148.3,Yes
753,95.8,Yes
816,69.7,Yes
756,135.6,Yes
786,73.0,Yes
583,117.2,Yes
544,48.4,No
592,42.8,No
382,29.4,No
456,108.9,No
717,56.3,Yes
363,39.0,No
320,129.9,No
689,76.8,Yes
605,115.5,Yes
729,85.4,Yes
525,78.4,No
797,14.1,Yes
714,111.4,Yes
430,147.3,Yes
703,92.9,Yes
385,100.0,No
772,35.4,Yes
635,39.6,No
688,49.0,Yes
731,45.3,Yes
319,114.9,No
658,41.4,No
341,115.6,No
504,127.5,Yes
544,27.7,No
523,75.1,No
677,33.5,No
417,118.9,No
618,25.1,No
619,90.6,Yes
684,65.5,Yes
377,92.9,No
548,24.3,No
423,121.5,No
