Study Hours,Attendance,Result
2.0,81.4,Fail
5.7,53.0,Fail
9.7,70.7,Pass
2.8,40.2,Fail
7.0,44.2,Fail
2.8,54.0,Fail
12.0,84.3,Pass
7.4,42.0,Fail
6.0,46.9,Fail
4.4,49.3,Fail
1.5,95.7,Fail
6.6,60.6,Fail
2.2,42.2,Fail
2.8,86.8,Fail
11.6,93.6,Pass
9.2,74.8,Pass
1.5,68.6,Fail
2.4,95.4,Pass
4.9,61.9,Fail
4.6,99.7,Pass
0.3,45.6,Fail
11.9,69.8,Pass
6.6,84.9,Pass
7.3,73.4,Pass
2.2,50.2,Fail
11.1,60.8,Pass
3.7,46.2,Fail
9.8,86.6,Pass
8.2,80.6,Pass
11.5,64.4,Pass
11.5,75.4,Pass
5.9,62.5,Fail
10.5,49.7,Pass
9.7,86.4,Pass
10.0,43.1,Fail
3.5,65.2,Fail
0.8,60.3,Fail
11.8,84.8,Pass
3.0,97.5,Pass
8.7,41.7,Fail
10.1,87.7,Pass
7.2,65.6,Pass
10.2,58.5,Pass
3.3,86.1,Fail
8.2,97.2,Pass
7.1,78.6,Pass
7.0,55.4,Fail
11.5,94.3,Pass
1.1,45.6,Fail
5.4,48.4,Fail
7.9,47.6,Fail
3.9,69.6,Fail
2.0,51.0,Fail
8.5,73.0,Pass
8.5,92.4,Pass
9.5,40.5,Fail
0.8,85.8,Fail
8.5,55.2,Pass
3.8,42.5,Fail
3.7,94.0,Pass
6.0,73.0,Pass
1.2,76.1,Fail
8.8,98.0,Pass
8.4,71.5,Pass
0.8,88.9,Fail
4.3,59.1,Fail
1.3,44.6,Fail
9.8,85.6,Pass
7.5,41.2,Fail
5.3,71.0,Fail
4.8,53.5,Fail
5.2,54.8,Fail
9.8,83.4,Pass
2.8,63.1,Fail
7.6,97.8,Pass
5.8,69.5,Pass
10.7,86.8,Pass
9.1,80.1,Pass
8.4,81.0,Pass
11.0,63.2,Pass
9.9,97.8,Pass
0.1,58.8,Fail
4.7,48.7,Fail
1.0,58.2,Fail
8.9,67.7,Pass
11.5,82.2,Pass
4.0,78.5,Fail
3.1,97.1,Pass
3.1,90.7,Fail
8.2,52.0,Pass
3.3,62.7,Fail
5.6,66.2,Fail
3.4,50.5,Fail
3.3,51.3,Fail
0.4,88.6,Fail
8.5,41.1,Fail
0.5,76.5,Fail
2.9,40.5,Fail
1.1,58.5,Fail
10.7,62.2,Pass
9.5,89.3,Pass
0.6,51.3,Fail
6.6,53.5,Fail
10.1,95.5,Pass
0.2,74.9,Fail
10.8,84.8,Pass
2.3,43.6,Fail
