YearsExperience,Salary
7.5,49638.51
19.0,70823.28
14.6,68400.99
12.0,63052.93
3.1,40548.95
3.1,43153.9
1.2,37169.61
17.3,75545.9
12.0,59649.17
14.2,57195.2
0.4,33148.09
19.4,79538.44
16.6,72857.89
4.2,34116.26
3.6,33594.72
3.7,44515.76
6.1,45052.22
10.5,59657.5
8.6,51641.59
5.8,44648.78
12.2,65191.42
2.8,34419.78
5.8,44980.6
7.3,45938.62
9.1,50577.52
15.7,67704.14
4.0,41110.67
10.3,53356.26
11.8,65778.78
0.9,27776.96
12.2,59565.64
3.4,36301.34
1.3,40484.89
19.0,78482.77
19.3,83409.22
16.2,63072.2
6.1,46585.25
2.0,39448.15
13.7,64661.42
8.8,57327.4
2.4,33413.56
9.9,61796.74
0.7,43244.49
18.2,73685.81
5.2,40772.49
13.3,70516.92
6.2,53397.86
10.4,53385.7
10.9,55149.07
3.7,37841.08
19.4,71777.75
15.5,64156.74
18.8,71979.3
17.9,70911.01
12.0,59826.58
18.4,77171.07
1.8,42252.5
3.9,34758.23
0.9,37171.61
6.5,45180.06
7.8,49252.68
5.4,46874.1
16.6,65886.39
7.1,49662.05
5.6,44832.26
10.9,59712.26
2.8,38445.84
16.0,82276.5
1.5,30561.3
19.7,76595.02
15.4,65384.3
4.0,37222.61
0.1,27063.06
16.3,76695.08
14.1,72352.52
14.6,63646.27
15.4,64338.22
1.5,36107.08
7.2,45238.88
2.3,38914.66
17.3,74264.62
12.5,53671.28
6.6,54237.53
1.3,42229.39
6.2,42436.06
6.5,44311.49
14.6,67929.33
12.8,63672.28
17.7,77542.72
9.4,63551.02
2.4,35115.26
14.3,61758.51
15.2,61103.4
11.2,54345.35
15.4,68334.37
9.9,63722.79
10.5,53661.94
8.6,52618.94
0.5,31167.89
2.2,41441.97
0.6,44134.66
12.7,59095.66
6.3,43302.8
10.2,60720.8
18.2,78909.46
5.0,51733.54
8.2,53419.64
15.1,65953.54
4.6,44453.27
1.5,39293.52
5.8,48602.41
3.2,40536.37
18.6,81833.37
16.2,76346.48
12.7,68660.79
17.4,76743.55
16.1,69414.41
3.7,39983.57
17.9,80782.54
10.8,52915.32
16.1,72093.37
17.9,72783.31
6.4,46143.72
2.2,41892.26
4.6,42455.5
8.5,51482.18
16.4,64200.72
17.2,76731.27
0.1,33477.42
10.2,66316.27
8.3,49211.11
4.4,42095.75
2.4,37246.92
6.8,54887.27
18.9,76773.52
6.5,47645.11
10.4,59039.48
14.1,66183.05
7.3,46017.83
19.4,79470.45
19.2,83368.16
5.0,37367.42
9.9,55414.85
6.0,41499.4
5.7,50225.23
0.7,24134.07
12.2,57705.39
10.1,57136.06
1.0,40327.62
5.6,43671.25
18.2,72724.0
4.8,51405.79
2.9,30009.93
9.8,43505.97
19.7,81450.07
4.8,39489.73
13.4,58393.84
15.2,71541.78
4.8,43219.0
14.6,63679.61
7.4,42098.48
12.6,65862.29
12.7,65001.01
10.7,56254.12
1.8,43733.18
16.7,66399.58
6.4,38372.37
3.7,35790.46
0.8,31772.07
11.8,60716.7
13.6,62793.82
0.3,32510.28
10.2,49242.3
4.5,48468.82
12.9,61839.24
3.5,44336.48
13.8,66213.63
7.7,51533.77
18.7,79598.84
2.8,39238.54
6.8,50213.61
2.3,42395.76
18.5,77232.61
17.5,77295.02
5.2,42551.32
13.2,70200.59
16.3,67368.04
11.1,66754.7
10.6,56299.21
4.8,34846.12
1.9,35390.52
17.9,71344.74
18.0,79203.22
12.7,58486.88
6.8,44769.08
7.0,38052.3
14.5,63988.47
17.9,62630.6
17.7,66330.49
15.6,72802.07
12.8,65929.0
1.7,36377.29
3.2,33165.12
18.0,74761.44
12.1,60231.99
0.2,24708.18
2.0,42516.99
13.3,67636.81
0.1,29145.18
3.2,38134.43
11.0,58541.91
13.8,54291.33
13.0,61264.11
4.5,37840.08
14.2,60491.9
4.7,40344.5
6.5,55238.43
14.9,70454.21
13.0,59644.11
17.0,75362.91
13.2,69996.78
11.4,63123.17
1.9,35048.15
7.4,45265.32
5.3,46741.12
4.9,44217.43
19.5,83225.97
7.9,52925.86
17.8,79747.76
12.6,58823.82
15.9,76336.97
10.1,56238.0
11.5,69126.3
9.9,51304.06
3.9,48429.82
14.4,66989.55
5.6,40742.91
0.5,28830.57
12.9,60648.26
3.5,40870.83
18.8,79614.18
19.1,74881.5
18.3,75628.23
7.4,59211.35
0.3,39387.72
18.6,78681.62
8.6,51690.02
19.3,78850.16
19.3,81317.59
17.1,67636.04
5.9,43463.12
7.7,40907.08
17.0,74496.12
6.3,48985.98
3.4,36084.07
11.1,65619.93
18.7,70621.17
13.9,57428.13
11.4,59622.26
1.9,39985.49
12.3,69169.64
19.8,77205.58
2.8,42393.4
10.4,55807.46
17.5,72886.86
14.8,71418.3
13.9,68011.61
14.0,57118.04
7.2,55382.7
5.9,51650.46
16.2,67372.19
16.2,72479.02
17.3,75720.15
18.3,77053.37
10.2,52748.47
10.0,51641.88
16.0,69872.23
13.0,68363.65
14.0,67718.0
15.9,67896.93
17.8,78358.49
6.8,32757.29
7.5,54493.83
1.9,26051.43
11.6,57187.8
0.7,26151.65
9.3,46776.59
10.9,63054.13
5.7,41911.49
11.8,61232.52
0.6,31265.4
0.7,34135.2
16.5,71634.11
7.2,41585.04
2.5,41231.33
10.4,53531.22
15.4,60717.09
4.3,38609.42
12.5,68753.8
1.7,38501.11
1.0,30756.74
10.6,54753.71
10.8,55391.82
12.7,72133.74
14.5,68159.68
19.5,80900.21
10.3,60901.42
6.5,47443.95
15.9,68454.79
5.4,42518.25
8.8,51641.99
1.6,33813.89
0.5,34888.15
19.3,78509.73
16.7,75413.2
13.9,64346.42
8.2,50893.18
3.5,28759.0
3.1,42331.64
5.0,44232.44
11.0,62490.05
14.3,51268.72
13.2,73441.87
5.6,43302.05
19.1,83290.91
14.8,61800.47
11.1,60813.87
12.2,55232.92
8.4,47881.16
5.0,52070.16
7.1,46796.59
15.2,69087.16
0.3,35100.34
2.3,38228.41
0.9,33002.09
0.8,33824.81
17.1,84767.08
14.1,64961.91
9.5,54755.5
2.0,40253.27
9.8,60027.63
9.5,59685.15
3.5,41943.65
8.7,46034.98
8.0,58167.16
12.3,55018.27
12.7,63263.18
0.9,28478.62
7.5,48429.31
12.5,62893.81
10.1,56856.79
17.1,74859.6
13.2,71068.56
3.3,40517.67
1.4,32279.22
12.8,66820.44
0.5,37197.35
11.7,53111.96
18.8,79987.0
11.5,62255.86
7.8,48012.18
12.9,69128.53
9.2,52249.72
10.9,57877.88
18.8,76134.64
7.7,49327.9
19.2,72518.62
18.1,68049.75
3.9,47722.53
1.4,29265.19
2.0,30043.04
0.4,20233.05
1.9,31555.19
13.7,57634.55
1.4,41710.08
6.4,51049.09
16.9,68809.25
0.5,42512.18
16.3,75658.83
5.6,42375.84
2.4,23502.97
13.9,76204.71
12.6,54552.14
17.5,65523.01
14.7,71862.85
16.1,82448.76
5.6,50921.36
3.5,41569.55
15.0,70473.77
16.1,74517.08
19.8,83294.64
8.3,52155.96
7.4,49021.01
15.5,68437.03
6.8,43230.18
18.6,75096.62
17.2,64535.22
8.6,51008.3
15.0,62557.04
15.1,62232.05
2.1,36149.47
18.1,82210.01
10.1,59841.58
16.5,63397.5
6.4,41051.86
17.9,79453.86
7.8,44587.56
0.2,29376.83
18.1,78000.26
1.8,29658.28
6.4,46526.88
19.0,70829.87
19.0,74493.16
11.5,60348.91
12.6,53535.03
9.0,54702.37
5.9,44651.81
6.6,49262.45
13.5,64869.57
15.0,74320.7
15.8,70126.12
15.8,67352.97
1.8,35111.49
9.9,57466.49
1.2,33244.3
11.0,57702.96
8.8,48490.04
17.8,71185.5
7.0,40486.97
2.3,44497.88
2.9,31030.68
15.2,64535.47
12.4,57407.96
2.0,39474.62
1.7,32775.25
14.0,71238.71
1.5,30382.55
16.4,72394.97
14.1,61073.26
1.6,44725.75
1.7,28312.01
19.7,80799.1
7.5,51918.88
7.4,50569.0
16.3,69823.56
18.9,76600.9
19.7,79469.06
15.1,67014.99
7.5,53569.4
1.7,45302.62
15.5,65962.54
11.2,51150.99
8.5,50808.59
18.1,88148.55
2.2,31481.63
9.9,62945.58
0.2,38888.5
9.4,50732.06
1.1,35594.92
2.4,44141.98
2.4,34104.36
13.0,61482.1
14.9,64341.6
11.7,54176.22
19.2,74753.61
7.5,42630.3
5.7,44420.42
17.4,69650.13
4.5,42418.93
19.3,70470.52
0.2,32154.4
19.4,82667.64
0.9,22281.32
17.8,76370.28
10.6,62638.34
19.9,73701.79
1.5,42112.86
11.1,59845.1
19.4,74974.94
10.5,55971.15
12.6,64291.63
13.9,65130.03
9.1,55443.78
12.6,56896.63
11.7,60096.8
18.0,67931.43
0.9,31693.87
5.6,39480.46
19.0,73822.35
17.8,80680.47
9.1,58206.55
12.4,64045.69
5.5,38288.44
3.8,37917.96
9.3,59315.49
7.1,48458.58
11.7,70846.65
1.6,35966.59
19.5,79710.25
19.7,77704.42
14.0,65667.7
10.7,55987.65
6.2,49040.54
16.3,75533.51
13.7,60320.05
3.3,31593.84
18.2,66318.97
16.5,73789.96
19.0,71983.17
14.5,55485.55
12.3,62692.89
8.4,63465.0
18.7,76719.65
17.3,77442.45
0.9,32659.15
0.5,30755.55
7.5,53345.38
16.2,69048.63
19.7,80586.96
3.0,39108.49
11.9,56409.55
7.6,53960.21
19.4,77625.2
16.8,68221.27
16.8,74682.55
9.4,49007.66
8.3,50890.91
5.5,43704.41
1.1,38179.48
17.3,75623.49
16.3,70624.87
20.0,84088.83
19.9,86701.04
11.1,60539.05
15.4,68551.76
18.9,70690.82
17.0,67174.43
4.9,40723.88
9.0,49452.44
2.6,35565.14
19.1,78033.25
12.1,62898.46
4.6,41147.51
13.4,65932.51
12.4,61322.37
7.2,38122.67
2.3,31053.32
13.4,62779.56
10.4,49951.53
15.4,71499.64
10.4,63653.75
17.0,78593.81
11.0,56432.79
11.2,65453.63
17.5,74493.34
8.1,48564.57
2.7,33682.99
0.6,29987.65
15.1,65809.12
12.4,61852.08
14.1,66052.87
4.3,40765.23
2.7,38934.69
0.3,36703.23
7.0,52247.77
11.8,52075.51
7.8,36730.39
8.7,56421.6
18.1,68415.61
7.0,46376.17
10.3,49899.43
15.7,60240.1
7.9,52457.31
12.4,64795.78
17.2,70117.45
19.0,64544.79
2.9,34518.78
18.5,78209.02
9.8,47105.44
5.2,43916.8
9.2,52923.45
19.6,81896.46
9.9,55347.9
6.6,41634.66
12.7,67732.86
4.8,41207.35
1.5,33613.48
2.6,31833.66
2.6,34283.59
3.0,33075.99
2.8,36135.27
12.8,70558.54
3.6,32140.49
6.9,39182.19
17.9,82105.85
9.5,52703.38
13.4,60154.64
3.4,43699.52
3.8,36471.92
0.8,41130.05
3.4,41889.63
5.6,41560.44
3.5,49536.54
1.8,31471.43
2.4,39710.48
9.2,54496.46
4.1,46758.71
7.3,56057.56
10.1,55410.02
13.8,60732.91
0.8,34299.86
16.0,66611.42
12.6,71566.94
1.6,34682.68
17.5,71923.39
18.4,76923.4
1.2,26264.37
5.5,38891.93
16.1,76252.07
15.0,64215.53
3.7,34015.45
4.2,43183.26
7.4,54428.52
9.7,57844.77
12.4,65980.24
7.4,44716.02
9.3,46140.95
14.9,74756.67
0.7,30136.6
5.0,41245.83
14.3,72390.97
17.9,77531.15
10.2,57779.44
10.6,67325.01
2.1,32032.41
8.9,56889.2
10.7,57035.07
4.8,43342.96
5.4,51142.34
7.5,51289.18
0.4,33691.48
6.4,51362.54
4.2,38675.24
6.5,42053.95
2.4,30775.95
17.8,64668.22
11.9,70031.04
13.6,58483.96
15.8,68393.73
10.0,53615.93
1.7,35787.03
10.7,60828.69
11.7,63552.37
14.9,64334.61
8.6,50664.39
2.6,37912.9
5.7,43006.54
7.3,56286.73
12.9,64704.87
11.4,62174.39
7.1,51064.41
19.7,85117.37
12.1,61155.11
4.7,35265.84
2.0,36998.44
3.1,34493.22
4.9,39606.92
3.2,40931.82
3.7,45441.42
5.7,44356.36
3.5,40294.17
17.9,83261.07
1.6,35203.77
10.5,69258.42
8.2,53327.55
19.6,70196.19
2.2,39266.71
8.0,51905.79
19.4,84948.76
17.3,76615.91
16.3,70057.72
5.2,36878.51
3.4,37454.88
13.4,59247.4
18.6,73597.38
11.1,60692.89
11.4,66849.52
5.6,45973.36
15.4,62520.58
3.7,41473.01
6.5,52233.16
8.5,48201.09
10.2,54829.91
4.8,42073.44
2.3,31825.51
12.2,63741.4
5.8,43895.26
11.6,61097.66
3.1,33312.54
9.6,51812.71
10.7,60361.91
1.0,30635.83
6.7,55384.82
2.7,34751.82
1.3,34373.42
19.8,84162.95
6.4,38908.17
16.2,61695.96
5.1,35121.72
13.6,70312.92
15.2,65240.71
11.9,72541.0
9.4,50678.76
8.2,51422.76
7.0,55210.55
18.6,86530.46
16.6,81807.52
19.3,84291.83
2.5,41370.31
14.6,69462.63
18.8,80891.81
3.6,36244.07
1.3,29159.01
14.8,66983.13
11.5,57899.08
16.8,69733.86
2.8,40481.94
15.9,74526.53
4.0,40442.03
3.3,45637.65
3.3,32541.55
16.3,69781.7
13.3,59665.89
10.5,46917.32
7.2,47586.6
17.5,73141.26
7.8,57067.25
16.3,73904.06
8.8,46879.07
7.5,58020.46
9.3,59355.17
6.0,47910.49
15.0,66367.58
10.1,50452.8
4.6,39638.97
18.0,80443.74
7.7,58672.93
10.9,64966.22
18.1,72805.75
12.5,55651.91
2.3,36454.43
18.8,68157.8
12.6,63115.84
6.7,46011.99
2.8,34669.82
15.9,61776.48
12.4,63568.0
10.7,54086.5
17.9,68900.42
15.8,55138.69
3.0,37362.43
6.2,54361.26
5.0,50806.3
14.9,64964.52
0.7,28738.94
11.4,60843.87
15.2,63008.07
17.5,75258.96
6.8,50830.4
16.4,77134.67
2.2,34999.23
16.9,71231.63
2.5,31860.09
7.9,45615.6
15.9,68617.61
3.0,39336.83
4.6,46067.92
14.4,61984.11
14.4,73463.44
12.8,60644.38
13.9,64643.16
10.9,53513.94
5.0,30378.8
6.9,51670.23
3.6,42684.22
18.2,74093.36
11.7,59584.95
8.0,52579.7
9.2,45187.27
18.9,74604.74
3.1,41721.32
11.7,52978.55
10.1,56717.79
12.2,53717.09
0.4,33332.15
17.4,73321.79
18.6,68424.34
11.3,64073.7
13.9,61077.04
18.4,71948.74
14.1,66252.85
3.1,43493.19
11.5,53670.89
