age,income,score,tenure,target
56,2928258,0.6006095425462361,33,1
69,1225502,0.9408753563380648,10,1
46,4636038,0.8268388837118774,35,1
32,1431796,0.6669715169909073,16,0
60,2772779,0.5771852367117482,34,1
25,2329049,0.3485736672419705,17,0
38,3730464,0.15928744524280514,39,1
56,2202614,0.6049539226905408,21,1
36,780173,0.3181115536181195,23,0
40,2679355,0.8664386675276454,18,1
28,3422504,0.9933369373586285,36,1
28,4863260,0.7524277626155725,38,1
41,477010,0.09048169528705075,20,0
53,1665016,0.2886855955306381,7,0
57,1707900,0.10910963176574973,27,0
41,4590497,0.6505116477917158,4,1
20,4231038,0.7651908645557847,16,1
39,933875,0.9256748308807118,36,1
19,2133221,0.43817234641198766,35,0
41,3890993,0.9013756495884443,18,1
61,4741502,0.8778911590413275,26,1
47,2578103,0.3171957167653986,33,1
55,91264,0.868900625540571,10,0
19,33275,0.3756722518817265,11,0
38,2703714,0.2968692745602808,20,0
50,2470072,0.6490746587943931,10,1
29,582735,0.32838122788508106,38,0
39,2010609,0.6302087483291442,27,0
61,922826,0.6098318054986945,4,0
42,2707143,0.5634389273484588,16,1
66,872522,0.3804197042327977,19,0
44,813692,0.5484997216514768,11,0
59,1171157,0.5964854749854216,5,0
45,1324532,0.5456868884954734,16,0
33,431240,0.44441945275120154,18,0
32,3869744,0.01466705704626381,25,0
64,954789,0.587061707701151,31,0
68,3117092,0.16844438514271964,5,0
61,2223573,0.6425759689471896,35,1
69,535893,0.759344327922866,37,1
20,2265363,0.5004453091307415,10,0
54,4391514,0.5423636649797383,32,1
68,4158887,0.9514785596659912,23,1
24,1217094,0.8471673613725742,22,0
38,2231192,0.9142365159514699,14,1
26,678406,0.8137662883195864,26,0
56,3678866,0.10891834184673144,10,1
35,4622338,0.1489918559701947,16,1
21,2863406,0.5266237972689596,13,0
42,1043255,0.24606965879799825,26,0
31,4999847,0.47669547504115917,17,1
67,3062766,0.3943653238183502,27,1
26,550677,0.5494142384304533,3,0
43,3104235,0.7468757161358227,6,1
19,1181459,0.7154909070992744,34,0
37,2869653,0.5212341324853343,8,0
45,1976197,0.8223934188170581,7,1
64,397952,0.43086209153803334,16,0
24,2219373,0.8967142898401224,16,0
61,4157703,0.07128027005516391,32,1
25,1040117,0.9546600300333075,31,0
64,2906818,0.6546930814313482,7,1
52,2367821,0.3800745089372053,18,0
31,535134,0.19715412657287734,37,0
34,254761,0.4791832294435999,2,0
53,2940098,0.19455832318530097,4,0
67,2981820,0.16633160774314215,12,1
57,74323,0.6173517574129742,30,0
21,1247715,0.5230847245817847,15,0
19,964480,0.6700960346109417,31,0
23,2342811,0.9296058774219892,21,1
59,864016,0.5322602133390402,28,0
21,874909,0.5809320532627977,21,0
46,4992564,0.08962633915494211,2,1
35,1060493,0.7176357859086295,9,0
43,292762,0.3999052068041562,20,0
61,1615118,0.9767252386625789,15,1
51,2893427,0.8231740155956603,11,1
27,1426012,0.5224810405161183,1,0
53,581650,0.12322265417216605,23,0
31,4486576,0.8594157932805891,34,1
48,395925,0.7997810954240216,29,0
65,2873793,0.184585129537033,29,1
32,4919047,0.2952782892203101,34,1
25,3767974,0.7934072581478373,18,1
31,413081,0.18522844654740966,7,0
40,2409105,0.9177524891713773,25,1
57,388892,0.4245274251963619,39,0
38,4209591,0.08703896258765864,6,1
33,3164240,0.8157486435042809,29,1
62,666702,0.3735096830383876,6,0
35,3264600,0.526499194153781,2,1
64,1995296,0.11230434441121917,0,0
41,2200222,0.002584014844982385,35,0
43,3759783,0.6379852057932976,24,1
42,2729269,0.5151751703337316,36,1
62,4812116,0.5935385691231472,0,1
58,2334797,0.7937438503805163,14,1
46,796667,0.6466059134228601,36,0
32,1363649,0.17477344282737717,12,0
62,1722503,0.3607725191105998,39,1
18,2995418,0.9058911047877604,7,1
42,3619736,0.7699447002516789,4,1
24,1394418,0.5566370579367172,8,0
26,396594,0.2556449978092723,0,0
41,2879760,0.30206050183479505,35,1
18,3816503,0.7319580675856345,34,1
61,3847247,0.8511742608527708,1,1
25,1102501,0.6714246695306144,39,0
41,147023,0.8095299757684418,22,0
28,1145964,0.766656135200406,8,0
68,4736599,0.14970396795695773,33,1
34,1493624,0.423944812913302,13,0
25,2165748,0.15298380082856267,3,0
52,1966109,0.2352355848019848,29,0
52,3055179,0.8692596246510526,30,1
50,3935282,0.47289196563318214,37,1
22,883172,0.5353581018426609,10,0
59,3695540,0.17844596522777212,34,1
56,532244,0.312271786048796,7,0
58,4883594,0.23024616842786993,2,1
45,4073309,0.20618616451842642,13,1
24,1072636,0.6379607933159701,12,0
26,1796921,0.2568838476457148,31,0
25,839735,0.6320154860204185,33,0
29,3346007,0.058454614108553904,18,0
51,3840375,0.14177439352710186,37,1
50,4539788,0.2745402540001254,15,1
65,2572469,0.5970469168956917,1,1
40,3096176,0.675841245087376,39,1
41,3305374,0.4427169667795271,16,1
54,4893680,0.44579091457722897,33,1
52,3691262,0.7245168513986181,15,1
61,4643078,0.01582109176558244,37,1
57,2619089,0.34109002447422054,1,0
39,2518749,0.8187070571192328,1,1
44,924228,0.6032194102133722,25,0
52,963959,0.3372271327554204,12,0
18,2199415,0.9055247923296739,30,1
52,1637781,0.7726227274493825,33,1
54,3379538,0.2648954472367334,38,1
64,3252374,0.6452898375257169,2,1
31,355266,0.5957507281889567,7,0
20,3966679,0.4011879140389827,22,1
18,1548601,0.36695607920480067,13,0
22,2587855,0.34356047477570395,26,0
43,3081475,0.6171557833956468,28,1
31,4547358,0.4424099364806695,38,1
56,4013484,0.831863113251422,38,1
44,1117955,0.6696026161339619,0,0
26,3812010,0.06993160570943413,16,0
32,1942728,0.6401682238281661,29,0
32,1909492,0.2711474365001848,12,0
43,2371632,0.5928119916534227,20,0
59,1424397,0.6801319311034514,18,1
30,3187993,0.23082918915401207,18,0
68,3141209,0.45685864488036865,24,1
49,1233520,0.1903248628190678,21,0
56,4067893,0.05233887578650831,30,1
66,3227635,0.3784764234858691,16,1
69,2310119,0.362944271845992,22,1
49,1909443,0.995480490704257,31,1
21,3458503,0.44635235119764216,9,0
47,1449758,0.3335695494722004,9,0
54,1815468,0.5804750067166746,35,1
40,3437975,0.08876739410776846,7,0
56,136108,0.9616657359548132,19,0
62,3170110,0.6349600455910331,31,1
32,3240019,0.7548378199408478,13,1
60,1717692,0.17047793817391754,27,0
46,2090154,0.4094778530052039,23,1
53,2254702,0.42268911339618953,14,0
30,3387778,0.8218064439010868,21,1
49,2540034,0.0012366797594094425,29,0
24,4542131,0.30085310835325507,3,0
68,2702755,0.9812363743443039,12,1
39,398349,0.4748865435062186,22,0
45,1072729,0.38252628024400825,7,0
19,3134071,0.11982900201764635,17,0
59,3396501,0.9741646286280156,11,1
62,1989079,0.02002635592582447,30,0
23,4598334,0.7371802250072431,13,1
45,3532905,0.7685998047885084,33,1
45,86077,0.24365671606386663,17,0
61,4337819,0.6715584436130373,33,1
61,1265564,0.09292914437938993,10,0
37,1918327,0.25704726643207987,11,0
47,135885,0.787901988292265,14,0
28,551656,0.8646861920335402,30,0
45,680688,0.6084864126597913,28,0
42,2295166,0.5068384318204826,25,1
56,4434507,0.1593040206189803,17,1
50,2061531,0.06310903307915017,31,0
18,2802427,0.11764902847355863,21,0
44,2930803,0.22735730009609878,37,1
69,3367679,0.34167450189692083,16,1
30,4400020,0.3809095255109872,22,1
58,2691719,0.34632176858900354,23,1
20,900695,0.2390553321972656,7,0
56,4204430,0.5097242467516981,5,1
23,848761,0.8252861082328968,4,0
