Age,EstimatedSalary,Purchased
56,69376,0
46,65587,1
32,56976,1
60,124587,1
25,147534,1
38,87584,1
56,124537,1
36,98477,0
40,130911,1
28,62533,0
28,21828,0
41,21917,0
53,40618,0
57,52254,1
41,125292,0
20,136714,0
39,67362,0
19,40128,0
41,143781,1
61,131281,1
47,79383,1
55,85545,1
19,102180,0
38,107958,0
50,29865,0
29,22219,0
39,59809,0
61,136748,1
42,25287,1
44,146593,1
59,54387,0
45,28512,0
33,21342,0
32,83076,1
64,128872,1
61,39216,0
20,137512,0
54,136682,1
24,113070,0
38,99767,1
26,117829,0
56,46614,1
35,56258,0
21,113789,1
42,62078,0
31,126288,0
26,103524,1
43,116573,0
19,32219,0
37,20235,0
45,62929,0
64,147309,1
24,87444,0
61,28567,1
25,121834,0
64,90792,1
52,85441,1
31,104555,0
34,93698,0
53,144450,1
57,137248,1
21,25415,0
19,56159,0
23,63925,0
59,146523,1
21,25951,0
46,107388,0
35,28007,0
43,146730,1
61,61832,1
51,78596,1
27,141101,1
53,50523,0
31,108861,0
48,144194,1
65,106740,1
32,35524,0
25,149028,0
31,39282,0
40,43930,0
57,20077,0
38,125881,1
33,145501,0
62,40611,1
35,36984,0
64,34060,0
41,102985,0
43,104056,1
42,145329,1
62,63303,1
58,79207,1
46,95046,1
32,49287,0
62,113709,1
18,59711,0
42,31954,0
24,93340,0
26,92101,0
41,91520,1
18,107062,0
61,122974,1
25,38574,0
41,29184,0
28,39096,0
34,87728,1
25,54016,0
52,31246,1
52,65558,1
50,138721,1
22,38381,0
59,147796,1
56,56455,0
58,112263,1
45,24018,0
24,31302,0
26,87506,0
25,61157,0
29,74917,0
51,112738,0
50,116646,1
65,103122,1
40,44519,0
41,116809,0
54,107487,1
52,76819,1
61,100910,1
57,140430,1
39,91324,1
44,25408,0
52,79379,0
18,45053,0
52,29446,0
54,20922,1
64,118723,1
31,71356,0
20,30789,0
18,117720,0
22,86656,0
43,64028,1
31,84484,1
56,52154,0
44,102870,1
26,22336,0
32,123677,1
32,87779,0
43,39029,0
59,79201,1
30,52265,0
49,122916,1
56,132250,1
49,136553,1
21,63872,0
47,66197,0
54,145733,0
40,75180,0
56,43710,1
62,49486,1
32,91907,0
60,148876,1
46,91895,1
53,84435,0
30,60631,1
49,149038,1
24,121532,0
39,40103,0
45,84772,0
19,146108,0
59,34382,1
62,104291,1
23,121195,1
45,23756,0
45,40609,0
61,134074,1
61,36478,1
37,120978,1
47,59666,1
28,95683,0
45,119097,0
42,144714,1
56,120420,1
50,91315,0
18,97834,0
44,146205,1
30,34153,0
58,129415,1
20,96325,0
56,129701,1
23,32999,1
25,75318,0
44,20814,0
26,135033,0
54,96077,1
50,110474,1
59,22443,1
61,95993,1
41,95916,1
32,93319,0
49,145885,1
49,129777,1
41,37368,0
58,35328,1
29,76942,0
56,111751,1
19,119131,0
20,47306,0
54,105451,1
34,59915,0
19,57219,0
19,100879,0
45,131939,1
40,84644,0
54,80279,0
49,73028,0
50,124263,1
18,20126,0
36,72329,0
19,47632,0
61,127099,1
43,85310,0
49,129945,1
23,75176,1
49,139797,1
21,106066,0
28,125500,0
34,146413,0
55,64327,1
41,88904,0
22,23797,0
51,67882,1
23,33718,1
39,54560,1
28,96589,0
65,42116,0
33,56244,0
50,121721,0
26,21645,0
23,67523,0
33,144085,1
46,137718,1
20,39256,0
37,121376,1
53,120158,1
36,73173,0
43,57430,0
20,59282,0
36,139719,0
37,83374,0
49,88244,0
24,31694,0
